token,err
xy_sum[0], 0.00000000
xy_sum[1], 0.00000000
xy_sum[2], 0.00000000
xy_sum[3], 0.00000000
xy_sum[4], 0.00000000
xy_sum[5], 0.00000000
xy_sum[6], 0.00000000
xy_sum[7], 0.00000000
xy_sum[8], 0.00000001
xy_sum[9], 0.00000000
xy_sum[10], 0.00001021
xy_sum[11], 0.00002147
xy_sum[12], 0.00132343
xy_sum[13], 0.00073010
xy_sum[14], 0.00140102
xy_sum[15], 0.00376630
xy_sum[16], 0.00680659
xy_sum[17], 0.01417298
xy_sum[18], 0.02661946
xy_sum[19], 0.03842509
xy_sum[20], 0.06914870
xy_sum[21], 0.09512836
xy_sum[22], 0.11171412
xy_sum[23], 0.13171857
xy_sum[24], 0.19188884
xy_sum[25], 0.07713416
xy_sum[26], 0.09500222
xy_sum[27], 0.12227025
xy_sum[28], 0.15356637
xy_sum[29], 0.18297509
xy_sum[30], 0.07277166
xy_sum[31], 0.00000000
cos_theta2_reg[0], 0.00000001
cos_theta2_reg[1], 0.00000002
cos_theta2_reg[2], 0.00050004
cos_theta2_reg[3], 0.00050005
cos_theta2_reg[4], 0.00000011
cos_theta2_reg[5], 0.00050010
cos_theta2_reg[6], 0.00500013
cos_theta2_reg[7], 0.00500029
cos_theta2_reg[8], 0.00900035
cos_theta2_reg[9], 0.01650026
cos_theta2_reg[10], 0.03000018
cos_theta2_reg[11], 0.04499980
cos_theta2_reg[12], 0.03700003
cos_theta2_reg[13], 0.04699975
cos_theta2_reg[14], 0.05099963
cos_theta2_reg[15], 0.00000000
cos_theta2_reg[16], 0.00000000
cos_theta2_reg[17], 0.00000000
cos_theta2_reg[18], 0.00000000
cos_theta2_reg[19], 0.00000000
cos_theta2_reg[20], 0.00000000
cos_theta2_reg[21], 0.00000000
cos_theta2_reg[22], 0.00000000
cos_theta2_reg[23], 0.00000000
cos_theta2_reg[24], 0.00000000
cos_theta2_reg[25], 0.00000000
cos_theta2_reg[26], 0.00000000
cos_theta2_reg[27], 0.00000000
cos_theta2_reg[28], 0.00000000
cos_theta2_reg[29], 0.00000000
cos_theta2_reg[30], 0.00000000
cos_theta2_reg[31], 0.00050000
sin_theta2_reg[0], 0.00000002
sin_theta2_reg[1], 0.00000003
sin_theta2_reg[2], 0.00000005
sin_theta2_reg[3], 0.00000012
sin_theta2_reg[4], 0.00000019
sin_theta2_reg[5], 0.00100020
sin_theta2_reg[6], 0.00250021
sin_theta2_reg[7], 0.00450034
sin_theta2_reg[8], 0.01100039
sin_theta2_reg[9], 0.02450019
sin_theta2_reg[10], 0.04699980
sin_theta2_reg[11], 0.06899913
sin_theta2_reg[12], 0.05749969
sin_theta2_reg[13], 0.06299967
sin_theta2_reg[14], 0.06699967
sin_theta2_reg[15], 0.00000000
sin_theta2_reg[16], 0.00000000
sin_theta2_reg[17], 0.00000000
sin_theta2_reg[18], 0.00000000
sin_theta2_reg[19], 0.00000000
sin_theta2_reg[20], 0.00000000
sin_theta2_reg[21], 0.00000000
sin_theta2_reg[22], 0.00000000
sin_theta2_reg[23], 0.00000000
sin_theta2_reg[24], 0.00000000
sin_theta2_reg[25], 0.00000000
sin_theta2_reg[26], 0.00000000
sin_theta2_reg[27], 0.00000000
sin_theta2_reg[28], 0.00000000
sin_theta2_reg[29], 0.00000000
sin_theta2_reg[30], 0.00000000
sin_theta2_reg[31], 0.00000000
cos_theta2[0], 0.00000001
cos_theta2[1], 0.00000002
cos_theta2[2], 0.00050004
cos_theta2[3], 0.00050005
cos_theta2[4], 0.00000011
cos_theta2[5], 0.00050010
cos_theta2[6], 0.00500013
cos_theta2[7], 0.00500029
cos_theta2[8], 0.00900035
cos_theta2[9], 0.01650026
cos_theta2[10], 0.03000018
cos_theta2[11], 0.04499980
cos_theta2[12], 0.03700003
cos_theta2[13], 0.04699975
cos_theta2[14], 0.05099963
cos_theta2[15], 0.00000000
cos_theta2[16], 0.00000000
cos_theta2[17], 0.00000000
cos_theta2[18], 0.00000000
cos_theta2[19], 0.00000000
cos_theta2[20], 0.00000000
cos_theta2[21], 0.00000000
cos_theta2[22], 0.00000000
cos_theta2[23], 0.00000000
cos_theta2[24], 0.00000000
cos_theta2[25], 0.00000000
cos_theta2[26], 0.00000000
cos_theta2[27], 0.00000000
cos_theta2[28], 0.00000000
cos_theta2[29], 0.00000000
cos_theta2[30], 0.00000000
cos_theta2[31], 0.00050000
sin_theta2[0], 0.00000002
sin_theta2[1], 0.00000003
sin_theta2[2], 0.00000005
sin_theta2[3], 0.00000012
sin_theta2[4], 0.00000019
sin_theta2[5], 0.00100020
sin_theta2[6], 0.00250021
sin_theta2[7], 0.00450034
sin_theta2[8], 0.01100039
sin_theta2[9], 0.02450019
sin_theta2[10], 0.04699980
sin_theta2[11], 0.06899913
sin_theta2[12], 0.05749969
sin_theta2[13], 0.06299967
sin_theta2[14], 0.06699967
sin_theta2[15], 0.00000000
sin_theta2[16], 0.00000000
sin_theta2[17], 0.00000000
sin_theta2[18], 0.00000000
sin_theta2[19], 0.00000000
sin_theta2[20], 0.00000000
sin_theta2[21], 0.00000000
sin_theta2[22], 0.00000000
sin_theta2[23], 0.00000000
sin_theta2[24], 0.00000000
sin_theta2[25], 0.00000000
sin_theta2[26], 0.00000000
sin_theta2[27], 0.00000000
sin_theta2[28], 0.00000000
sin_theta2[29], 0.00000000
sin_theta2[30], 0.00000000
sin_theta2[31], 0.00000000
cos12[0], 0.00000000
cos12[1], 0.00000000
cos12[2], 0.00000000
cos12[3], 0.00000002
cos12[4], 0.00000001
cos12[5], 0.00050003
cos12[6], 0.00000008
cos12[7], 0.00050006
cos12[8], 0.00100013
cos12[9], 0.00200014
cos12[10], 0.00250022
cos12[11], 0.00700023
cos12[12], 0.01000043
cos12[13], 0.02350030
cos12[14], 0.03599990
cos12[15], 0.04299981
cos12[16], 0.03999995
cos12[17], 0.02999991
cos12[18], 0.02949992
cos12[19], 0.00000000
cos12[20], 0.00000000
cos12[21], 0.00000000
cos12[22], 0.00000000
cos12[23], 0.00000000
cos12[24], 0.00000000
cos12[25], 0.00000000
cos12[26], 0.00000000
cos12[27], 0.00000000
cos12[28], 0.00000000
cos12[29], 0.00000000
cos12[30], 0.00000000
cos12[31], 0.00050000
x_sqr[0], 0.00000000
x_sqr[1], 0.00000000
x_sqr[2], 0.00000000
x_sqr[3], 0.00000000
x_sqr[4], 0.00000000
x_sqr[5], 0.00000000
x_sqr[6], 0.00000000
x_sqr[7], 0.00000297
x_sqr[8], 0.00000296
x_sqr[9], 0.00000685
x_sqr[10], 0.00000754
x_sqr[11], 0.00003080
x_sqr[12], 0.00057825
x_sqr[13], 0.00161518
x_sqr[14], 0.00150785
x_sqr[15], 0.00482090
x_sqr[16], 0.00989953
x_sqr[17], 0.01339373
x_sqr[18], 0.02917757
x_sqr[19], 0.04312661
x_sqr[20], 0.06776574
x_sqr[21], 0.08406770
